Paper,Gene,1,2,3,4,5,6,6b,WM,Species,in_SpatialDE_nofilt,in_SpatialDE_filt,in_SpatialDE_nofilt_pooled,in_SpatialDE_filt_pooled,in_HVGs
Zeng,C4orf31,1,0,0,0,0,0,0,0,MH,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Chrna7,1,1,0,0,0,0,0,0,MH,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Cnr1,1,1,0,0,0,1,0,0,MH,TRUE,FALSE,TRUE,TRUE,TRUE
Zeng,Cxcl14,1,1,0,0,0,0,0,0,MH,TRUE,TRUE,TRUE,TRUE,TRUE
Zeng,Reln,1,0,0,0,0,0,0,0,MH,TRUE,FALSE,TRUE,FALSE,TRUE
Zeng,Inpp4b,1,1,1,0,0,0,0,0,MH,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Gsg1L,0,1,1,0,0,1,0,0,MH,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Igsf11,0,1,1,0,0,0,0,0,MH,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Kcnip2,0,1,1,0,0,0,0,0,MH,TRUE,FALSE,TRUE,FALSE,TRUE
Zeng,Pvrl3,0,1,0,0,0,0,0,0,MH,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Rasgrf2,0,1,0,0,0,0,0,0,MH,TRUE,TRUE,TRUE,TRUE,FALSE
Zeng,Syt17,0,1,1,0,1,0,0,0,MH,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Wfs1,0,1,0,0,0,0,0,0,MH,FALSE,FALSE,TRUE,TRUE,TRUE
Zeng,C1ql2,0,1,0,0,0,0,0,0,H,TRUE,FALSE,TRUE,FALSE,TRUE
Zeng,C20orf103,0,1,1,0,0,0,0,0,MH,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Cartpt,0,1,0,0,0,0,0,0,MH,TRUE,TRUE,TRUE,TRUE,TRUE
Zeng,Calb1,0,1,1,0,0,0,0,0,MH,TRUE,FALSE,TRUE,TRUE,FALSE
Zeng,Cux2,0,1,1,1,0,0,0,0,MH,TRUE,FALSE,TRUE,FALSE,FALSE
Zeng,Atp2b4,0,1,0,0,1,1,0,0,MH,FALSE,FALSE,TRUE,TRUE,TRUE
Zeng,Cbln2,0,1,1,0,0,1,0,0,MH,TRUE,FALSE,TRUE,TRUE,FALSE
Zeng,Cck,0,1,1,0,0,1,0,0,MH,TRUE,TRUE,TRUE,TRUE,TRUE
Zeng,Fxyd6,0,1,1,0,1,1,0,0,MH,TRUE,TRUE,TRUE,TRUE,TRUE
Zeng,Penk,0,1,1,0,0,1,0,0,MH,TRUE,FALSE,TRUE,FALSE,FALSE
Zeng,Cacna1e,0,1,1,0,0,1,0,0,H,FALSE,FALSE,TRUE,TRUE,FALSE
Zeng,Kcnh4,0,1,1,0,0,1,0,0,H,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Scn3b,0,1,1,0,0,1,0,0,H,FALSE,FALSE,TRUE,TRUE,FALSE
Zeng,Col24a1,0,1,1,0,1,1,0,0,MH,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Crym,0,1,1,0,1,1,0,0,MH,TRUE,TRUE,TRUE,TRUE,FALSE
Zeng,Tpbg,0,0,1,0,1,1,0,0,MH,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Bend5,0,0,1,0,1,0,0,0,MH,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Col6a1,0,0,1,1,1,1,0,0,MH,TRUE,FALSE,TRUE,TRUE,TRUE
Zeng,Prss12,0,0,1,0,0,0,0,0,MH,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Scn4b,0,1,1,0,1,0,0,0,MH,FALSE,FALSE,TRUE,TRUE,FALSE
Zeng,Syt2,0,1,1,0,1,0,0,0,MH,TRUE,FALSE,TRUE,FALSE,FALSE
Zeng,Lgals1,0,0,1,0,1,1,0,0,H,TRUE,TRUE,TRUE,TRUE,TRUE
Zeng,Mfge8,0,0,1,0,0,0,0,0,H,FALSE,FALSE,TRUE,TRUE,TRUE
Zeng,Sv2c,0,0,1,0,0,0,0,0,H,TRUE,FALSE,TRUE,FALSE,FALSE
Zeng,Sncg,0,0,1,0,1,1,0,0,H,TRUE,TRUE,TRUE,TRUE,TRUE
Zeng,Rorb,0,0,0,1,0,0,0,0,MH,TRUE,FALSE,TRUE,TRUE,FALSE
Zeng,Cacng5,0,0,0,1,0,0,0,0,H,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Chrna3,0,0,0,1,0,0,0,0,H,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Grik4,0,0,0,1,0,1,0,0,H,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Kcnip1,0,0,0,1,0,0,0,0,H,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Pdyn,0,0,0,1,0,0,0,0,H,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Trib2,0,0,0,1,1,0,0,0,MH,FALSE,FALSE,TRUE,FALSE,FALSE
