Paper,Gene,1,2,3,4,5,6,6b,WM,Species,in_SpatialDE_nofilt,in_SpatialDE_filt,in_SpatialDE_nofilt_pooled,in_SpatialDE_filt_pooled,in_HVGs
Zeng,Cpne7,0,0,0,0,1,1,0,0,MH,TRUE,FALSE,TRUE,FALSE,FALSE
Zeng,Etv1,0,0,0,0,1,1,0,0,MH,TRUE,FALSE,TRUE,FALSE,FALSE
Zeng,Fam3c,0,1,0,1,1,0,0,0,MH,FALSE,FALSE,TRUE,TRUE,FALSE
Zeng,Tox,0,0,0,0,1,1,0,0,MH,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Vat1l,0,0,0,0,1,0,0,0,MH,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Kiaa1456,0,1,1,1,1,1,0,0,MH,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Htr2c,0,0,0,0,1,0,0,0,H,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,B3galt2,0,0,0,0,1,1,0,0,MH,TRUE,FALSE,TRUE,TRUE,FALSE
Zeng,Kcnk2,0,0,0,0,1,1,0,0,MH,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Pcp4,0,0,1,1,1,1,0,0,MH,TRUE,TRUE,TRUE,TRUE,TRUE
Zeng,Pde1a,0,0,0,1,1,1,0,0,MH,FALSE,FALSE,TRUE,TRUE,FALSE
Zeng,Rprm,0,0,0,0,1,1,0,0,MH,TRUE,FALSE,TRUE,FALSE,FALSE
Zeng,Rxfp1,0,0,0,0,1,1,0,0,MH,TRUE,FALSE,TRUE,FALSE,FALSE
Zeng,Gabra5,0,0,0,0,1,1,1,0,MH,TRUE,FALSE,TRUE,TRUE,FALSE
Zeng,Pcdh20,0,0,0,0,1,1,0,0,MH,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Kcna1,0,0,1,0,1,1,0,0,H,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Cdh24,0,0,0,0,0,1,1,1,MH,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Cyr61,0,0,0,0,0,1,1,1,MH,FALSE,FALSE,TRUE,FALSE,TRUE
Zeng,Foxp2,0,0,0,0,0,1,0,0,MH,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Ntng2,0,0,0,0,1,1,0,0,MH,TRUE,FALSE,TRUE,FALSE,FALSE
Zeng,Syt10,0,0,0,0,0,1,0,0,MH,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Syt6,0,0,0,0,0,1,0,0,MH,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Th,0,0,0,0,0,1,0,0,MH,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Tle4,0,0,0,0,0,1,1,0,MH,TRUE,FALSE,TRUE,FALSE,TRUE
Zeng,Tmem163,0,0,1,0,0,1,0,0,MH,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Akr1c2,0,0,0,0,0,1,0,0,H,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Akr1c3,0,0,0,0,0,1,0,0,H,FALSE,FALSE,FALSE,FALSE,FALSE
Zeng,Anxa1,0,0,0,0,0,1,0,0,H,FALSE,FALSE,TRUE,FALSE,TRUE
Zeng,Npy2r,0,0,0,0,0,1,0,0,H,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Oprk1,0,0,0,0,0,1,0,0,H,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Pcdh17,0,0,0,0,0,1,1,0,H,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Sema3c,0,0,0,0,0,1,0,0,H,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Synpr,0,0,0,0,0,1,0,0,H,FALSE,FALSE,TRUE,TRUE,TRUE
Zeng,Adra2a,0,0,0,0,0,0,1,1,MH,FALSE,FALSE,TRUE,FALSE,FALSE
Zeng,Ctgf,0,0,0,0,0,0,1,1,MH,TRUE,FALSE,TRUE,FALSE,TRUE
Zeng,Nr4a2,0,0,0,0,0,1,1,1,MH,TRUE,FALSE,TRUE,FALSE,FALSE
