"1_1vAll","1_pw","2_1vAll","2_pw","3_1vAll","3_pw","4_1vAll","4_pw","5_1vAll","5_pw","6_1vAll","6_pw","7_1vAll","7_pw","8_1vAll","8_pw"
"GFAP","MT-ND1","GFAP","","ENC1","ENC1","MOBP","LINC02195","SCGB2A2","","TUBA1B","NEFL","PLP1","","AC078850.2","AC011005.4"
"CST3","MT-ND2","CST3","","VSNL1","","MBP","HID1-AS1","SCGB1D2","","NEFL","TUBA1B","TF","","AC022973.4","AC078850.2"
"AQP4","CST3","SPARC","","NRGN","","PLP1","AP003774.4","TFF1","","MAP1B","TUBB2A","MBP","","AC011005.4","AC022973.4"
"S100B","MT-ATP6","CXCL14","","OLFM1","","TF","CFHR4","MUC1","","UCHL1","NDUFA4","MOBP","","AC010336.1","AC010336.1"
"SNORC","MT-CYB","MT-ND2","","HPCAL1","","CNP","C6orf58","TFF3","","TMSB10","SNAP25","CNP","","AC092718.6","AC092718.6"
"MT-ND1","MT-ND4","S100B","","CHN1","","MAG","AC108136.1","MGP","","MTRNR2L8","BASP1","CRYAB","","AC004231.1","AC004231.1"
"CLU","MT3","RPL41","","YWHAH","","CARNS1","DCDC2C","AZGP1","","SNAP25","TMSB10","AL022323.3","","AP003733.3","AP003733.3"
"MT3","MT-ND5","MGP","","SNAP25","","SPP1","TTLL13P","XBP1","","TUBB2A","","GFAP","","AC008121.2","AC008121.2"
"PTGDS","CLU","MALAT1","","ARPP19","","MOG","HIST2H2AA4","AGR3","","GAP43","","SPP1","","MYBPC3","MYBPC3"
"MT-ND2","MT-CO1","MT1G","","HOPX","","NKX6-2","AC135050.1","SCGB2A1","","STMN2","","CLDN11","","MOG","AL109976.1"
"VIM","SLC1A2","AZGP1","","ATP1B1","","CLDND1","LINC01615","MLPH","","NRGN","","CLDND1","","AL109976.1","AC009962.1"
"AGT","CPE","MUC1","","CALM3","","CNDP1","AC011416.3","CYP4Z1","","ATP5MD","","PPP1R14A","","TMEM63A","AL133163.3"
"SPARC","MT-CO2","KRT8","","LMO4","","CLDN11","LINC01924","AGR2","","NDUFA4","","CARNS1","","AC009962.1","AC034111.1"
"SPARCL1","MT-ND4L","RPLP1","","CAMK2N1","","ENPP2","NCK1-DT","KRT19","","SYT1","","HLX-AS1","","AL133163.3","INE2"
"MT-ND4","SPARCL1","MT-ND1","","RTN4","","HSPA2","S1PR5","CLEC3A","","STMN1","","NDOR1","","AC034111.1","HMSD"
"FABP7","","B2M","","TSPYL1","","ERMN","BX284668.6","CTSD","","RTN1","","MAL","","C19orf71","SLC22A7"
"METRN","","SCGB1D2","","CALM2","","S1PR5","POC1B","CRISP3","","BASP1","","FA2H","","HMSD","TTC29"
"MSX1","","S100A11","","NPTN","","BCAS1","CLCA4","NEAT1","","MT-CO2","","LINC01005","","INE2","C19orf71"
"APOE","","FTL","","RTN1","","CRYAB","AC084149.1","FXYD3","","CHN1","","APOF","","PLEKHH1","HSD17B3"
"MT2A","","KRT19","","PPP3CA","","TMEM144","AL158211.3","TPRG1","","VSNL1","","HHIPL2","","SLC22A7","TMEM63A"
"MT1G","","TFF1","","YWHAG","","PPP1R14A","ATP10B","ESR1","","NEFM","","AL353770.3","","AC100801.1","AP003392.5"
"MT-CYB","","VIM","","FKBP1A","","KLK6","SMIM35","COL1A1","","MT-CO3","","AC113414.1","","TTC29","AC100801.1"
"MT-ATP6","","MT-ND4","","SERPINI1","","MAL","ANKRD61","S100A11","","SNCG","","AL670729.2","","CLDN11","AC004908.3"
"SLC1A2","","RELN","","APP","","RNASE1","MFSD6L","LTF","","NDUFB1","","C11orf86","","MAG","AL121987.2"
"RELN","","MT3","","GRIN1","","C6orf58","AL121992.1","KRT18","","YWHAH","","AC078802.1","","TF","AL139393.1"
"GPM6B","","AQP4","","TMEM59L","","CFHR4","PRIMA1","NUPR1","","MDH1","","OPALIN","","NKX6-2","PLEKHH1"
"MT-CO2","","COL1A1","","YWHAZ","","DCDC2C","AC008875.1","SLC39A6","","COX6C","","ST6GALNAC2","","HSD17B3","DACT3-AS1"
"GSTM5","","XBP1","","NCDN","","TTLL13P","SNX20","BMPR1B","","YWHAG","","SMCO1","","AP003392.5","AC025166.1"
"MLC1","","SAA1","","SNCB","","HIST2H2AA4","AC012085.2","WFDC2","","TAGLN3","","NTM-AS1","","ERMN","ACP7"
"MT-CO1","","FABP4","","DNM1","","AP003774.4","LINGO4","FN1","","ATP5ME","","CLSTN2-AS1","","MYRF","MOG"
"CXCL14","","ADIRF","","CCK","","LINC02195","AL031663.3","COL1A2","","SOD1","","LINC00588","","PLP1","CHRM5"
"MT-ND5","","RPL13","","THY1","","HID1-AS1","AC021491.4","MUC5B","","SNCB","","TMCC3","","MOBP","PXK"
"GLUL","","COL1A2","","CAMK2A","","EFHD1","EPHA1","CEACAM6","","EEF1A2","","SIRPB1","","AL121987.2","BEST3"
"CTSH","","MT2A","","CYP46A1","","AQP1","IGLV6-57","SCUBE2","","RTN3","","NEUROG2","","PPP1R14A","AL360012.1"
"DBI","","EEF1A1","","CLSTN1","","AC108136.1","RBM14-RBM4","TSTD1","","SNRPN","","MAG","","CARNS1","AC099792.1"
"ID3","","SCGB2A2","","RGS4","","AC135050.1","SELENOV","HOXB2","","CALM2","","BCAS1","","AC004908.3","CCNB3"
"MT1M","","TFF3","","RTN3","","ANLN","TLR6","CCND1","","CALM3","","SCGB2A2","","SPP1","PRR5L"
"PFKFB2","","SNORC","","BEX1","","CNTN2","","GATA3","","NDUFA3","","FRGCA","","AL139393.1","NTM-AS1"
"AL078639.1","","HLA-B","","NPTXR","","LINC01615","","ZG16B","","MT-ND3","","ERMN","","ENPP2","LINC00640"
"GSN","","KRT18","","ATP2B1","","PMP22","","COL3A1","","SCN1B","","MYRF","","PXK","CECR2"
