"","logFC","t","P.Value","Symbol"
"ENSG00000243485",-8.30543428337711e-05,-0.505763243600191,0.613025220517122,"MIR1302-2HG"
"ENSG00000238009",-0.000117489061029021,-0.164727002554871,0.869159565942263,"AL627309.1"
"ENSG00000229905",-6.19668920372434e-05,-0.45305806228385,0.650509009932637,"AL669831.2"
"ENSG00000237491",-0.00255682739840171,-1.13274183008861,0.257328425109812,"AL669831.5"
"ENSG00000177757",-0.000170647749080101,-0.738149709934728,0.460427139513342,"FAM87B"
"ENSG00000225880",0.00111507967411018,1.20661572350398,0.227586200465625,"LINC00115"
"ENSG00000230368",-0.00073937153244448,-0.731565806818827,0.464437247434767,"FAM41C"
"ENSG00000272438",-1.34467174095619e-05,-0.174896220854049,0.861161928076435,"AL645608.7"
"ENSG00000230699",-7.01792322802352e-05,-0.402948971115855,0.686987584823819,"AL645608.3"
"ENSG00000223764",-0.00127254592472256,-1.52105288331445,0.128253248418047,"AL645608.1"
"ENSG00000187634",-0.000510888332761566,-0.348913492974987,0.727155807467513,"SAMD11"
"ENSG00000188976",-0.0196900061192038,-3.3080551484743,0.000940163437276244,"NOC2L"
"ENSG00000187961",-0.00520219578417341,-1.94684326082478,0.0515594372441309,"KLHL17"
"ENSG00000187583",-0.000424217972206571,-0.914635562276964,0.360387643206384,"PLEKHN1"
"ENSG00000187642",0.00172246440056294,2.13752588912503,0.0325603517451301,"PERM1"
"ENSG00000272512",0.00109756329658769,0.827328792274603,0.408054900557215,"AL645608.8"
"ENSG00000188290",-0.00282789410373274,-0.382302609087336,0.702238636500908,"HES4"
"ENSG00000187608",-0.0255703891222502,-2.72298587118987,0.00647185312167366,"ISG15"
"ENSG00000224969",-3.70885112687661e-06,-0.10795302077901,0.914033416005642,"AL645608.2"
"ENSG00000188157",-0.00928342504392051,-1.34758892323799,0.177797086859584,"AGRN"
"ENSG00000273443",-7.18458314211919e-06,-0.166880985344141,0.867464407867023,"AL645608.9"
"ENSG00000237330",0.000609484556762095,1.02097869847816,0.307269750501318,"RNF223"
"ENSG00000131591",-0.000990169232222094,-0.282721154640759,0.777391835084347,"C1orf159"
