top,layer,gene,tstat,pval,fdr,gene_index,ensembl,KM_Zeng,BM,RNAscope,test,in_rows,results
2,Layer1,VIM,12.315638225344,7.49196992138379e-20,8.36515901572107e-16,12721,ENSG00000026025,FALSE,FALSE,TRUE,layer_vs_rest,12;134;147;156;163;176,Layer1_top2;Layer1-Layer2_top4;Layer1-Layer3_top7;Layer1-Layer4_top6;Layer1-Layer5_top3;Layer1-Layer6_top6
3,Layer1,FABP7,11.8619297421055,5.00789767587927e-19,3.727712100002e-15,7713,ENSG00000164434,FALSE,FALSE,FALSE,layer_vs_rest,13;138;152;162;172;284,Layer1_top3;Layer1-Layer2_top8;Layer1-Layer4_top2;Layer1-Layer5_top2;Layer1-Layer6_top2;Layer1-WM_top4
4,Layer1,LINC00052,11.3532020383654,4.32862683808537e-18,2.41656414803211e-14,16455,ENSG00000259527,FALSE,FALSE,TRUE,layer_vs_rest,14;180,Layer1_top4;Layer1-Layer6_top10
5,Layer1,MT1F,11.2770696032121,5.99141658343243e-18,2.67588647449259e-14,17245,ENSG00000198417,FALSE,FALSE,FALSE,layer_vs_rest,15;149;159;177,Layer1_top5;Layer1-Layer3_top9;Layer1-Layer4_top9;Layer1-Layer6_top7
6,Layer1,MYL9,11.0878252600609,1.34753305699456e-17,5.01529344929093e-14,19675,ENSG00000101335,FALSE,FALSE,FALSE,layer_vs_rest,16,Layer1_top6
7,Layer1,F3,10.9729741089699,2.20750196552248e-17,6.8567786873916e-14,1029,ENSG00000117525,FALSE,FALSE,TRUE,layer_vs_rest,17,Layer1_top7
8,Layer1,CDC42EP4,10.9481511991226,2.45641617030732e-17,6.8567786873916e-14,18758,ENSG00000179604,FALSE,FALSE,FALSE,layer_vs_rest,18;178,Layer1_top8;Layer1-Layer6_top8
9,Layer1,ATP1A2,10.8269176342899,4.14260903441384e-17,1.02787335941662e-13,1566,ENSG00000018625,FALSE,FALSE,TRUE,layer_vs_rest,19,Layer1_top9
10,Layer1,SOX9,10.6077155618896,1.06930741797345e-16,2.38787039507651e-13,18748,ENSG00000125398,FALSE,FALSE,TRUE,layer_vs_rest,20,Layer1_top10
1,Layer2,DACT1,9.74141057004259,4.67588095376895e-15,1.04417097578615e-10,15403,ENSG00000165617,FALSE,FALSE,FALSE,layer_vs_rest,21;183,Layer2_top1;Layer2-Layer3_top3
2,Layer2,MPL,8.86653215528712,2.23170904614584e-13,2.49181473547413e-09,663,ENSG00000117400,FALSE,FALSE,FALSE,layer_vs_rest,22,Layer2_top2
3,Layer2,STXBP6,8.38528739602062,1.88559645016367e-12,1.40357514428683e-08,15229,ENSG00000168952,FALSE,FALSE,FALSE,layer_vs_rest,23,Layer2_top3
4,Layer2,SIPA1L1,8.03555537098989,8.88275500339635e-12,4.9590200495211e-08,15512,ENSG00000197555,FALSE,FALSE,FALSE,layer_vs_rest,24;205;347,Layer2_top4;Layer2-Layer5_top5;Layer2-Layer1_top7
5,Layer2,MAN1A1,7.96785170133444,1.19865390226861e-11,5.35342805831206e-08,7707,ENSG00000111885,FALSE,FALSE,FALSE,layer_vs_rest,25,Layer2_top5
6,Layer2,DDX54,7.8866082041613,1.71700116453013e-11,6.39039216752038e-08,14470,ENSG00000123064,FALSE,FALSE,FALSE,layer_vs_rest,26,Layer2_top6
7,Layer2,CAMK2N1,7.57958652924735,6.65814517502783e-11,1.8860052165034e-07,308,ENSG00000162545,FALSE,FALSE,FALSE,layer_vs_rest,27;187;193;202;213;227;236;290;293,Layer2_top7;Layer2-Layer3_top7;Layer2-Layer4_top3;Layer2-Layer5_top2;Layer2-Layer6_top3;Layer3-Layer4_top7;Layer3-Layer5_top6;Layer1-WM_top10;Layer2-WM_top3
8,Layer2,SERPINE2,7.5326092468652,8.18842798058695e-11,1.8860052165034e-07,3621,ENSG00000135919,FALSE,FALSE,TRUE,layer_vs_rest,28;157;165;182;191;201;211;221;232;286;291,Layer2_top8;Layer1-Layer4_top7;Layer1-Layer5_top5;Layer2-Layer3_top2;Layer2-Layer4_top1;Layer2-Layer5_top1;Layer2-Layer6_top1;Layer3-Layer4_top1;Layer3-Layer5_top2;Layer1-WM_top6;Layer2-WM_top1
9,Layer2,PAX2,7.50572442871023,9.21701092156719e-11,1.8860052165034e-07,13227,ENSG00000075891,FALSE,FALSE,TRUE,layer_vs_rest,29,Layer2_top9
10,Layer2,GNAL,7.49559244060855,9.63721082008943e-11,1.8860052165034e-07,19076,ENSG00000141404,FALSE,FALSE,TRUE,layer_vs_rest,30,Layer2_top10
1,Layer3,CARTPT,8.36374299099679,2.07255583559694e-12,4.62822443647153e-08,6121,ENSG00000164326,TRUE,TRUE,TRUE,layer_vs_rest,31;223;231;241;303,Layer3_top1;Layer3-Layer4_top3;Layer3-Layer5_top1;Layer3-Layer6_top1;Layer3-WM_top3
2,Layer3,BAIAP3,7.85461755580496,1.97618907476168e-11,2.20651391142515e-07,16653,ENSG00000007516,FALSE,FALSE,TRUE,layer_vs_rest,32,Layer3_top2
3,Layer3,ADCYAP1,6.12709653651001,3.57281453249954e-08,0.000199461303313118,19015,ENSG00000141433,FALSE,FALSE,FALSE,layer_vs_rest,33,Layer3_top3
4,Layer3,LINC01007,6.04813575876389,4.98097509493114e-08,0.000222460309689815,8612,ENSG00000233123,FALSE,FALSE,FALSE,layer_vs_rest,34,Layer3_top4
5,Layer3,CNGB1,5.44965445430221,5.89510722971412e-07,0.00219406065911244,17275,ENSG00000070729,FALSE,FALSE,FALSE,layer_vs_rest,35,Layer3_top5
6,Layer3,SPON2,5.38239144357768,7.73640947652634e-07,0.00227831882817681,5023,ENSG00000159674,FALSE,FALSE,TRUE,layer_vs_rest,36,Layer3_top6
7,Layer3,FREM3,5.36910106259519,8.16199481680823e-07,0.00227831882817681,5641,ENSG00000183090,FALSE,FALSE,FALSE,layer_vs_rest,37,Layer3_top7
8,Layer3,CA10,5.29141560520347,1.11501053091763e-06,0.0023046231253314,18584,ENSG00000154975,FALSE,FALSE,FALSE,layer_vs_rest,38;254,Layer3_top8;Layer4-Layer5_top4
9,Layer3,SNX3,5.27732807043637,1.17967447616889e-06,0.0023046231253314,7634,ENSG00000112335,FALSE,FALSE,FALSE,layer_vs_rest,39,Layer3_top9
10,Layer3,FAM84A,5.24899048745577,1.3210837466575e-06,0.0023046231253314,2335,ENSG00000162981,FALSE,FALSE,FALSE,layer_vs_rest,40;310,Layer3_top10;Layer3-WM_top10
1,Layer4,VAMP1,8.32138407748485,2.50371851754085e-12,4.94427546971309e-08,13544,ENSG00000139190,FALSE,FALSE,FALSE,layer_vs_rest,41;265;319;369;403;433,Layer4_top1;Layer4-Layer6_top5;Layer4-WM_top9;Layer4-Layer1_top9;Layer4-Layer2_top3;Layer4-Layer3_top3
2,Layer4,GUCA1C,8.19274668861896,4.42817202070045e-12,4.94427546971309e-08,4395,ENSG00000138472,FALSE,FALSE,FALSE,layer_vs_rest,42;438,Layer4_top2;Layer4-Layer3_top8
3,Layer4,NEFH,7.74234884924355,3.2483356013451e-11,2.41795274378792e-07,21708,ENSG00000100285,FALSE,TRUE,TRUE,layer_vs_rest,43;368;399;402;435,Layer4_top3;Layer4-Layer1_top8;Layer3-Layer2_top9;Layer4-Layer2_top2;Layer4-Layer3_top5
4,Layer4,LINC01827,7.20779313218774,3.40785235215909e-10,1.79619174099301e-06,3396,ENSG00000234919,FALSE,FALSE,FALSE,layer_vs_rest,44,Layer4_top4
5,Layer4,SCN1B,6.95197005121704,1.04025823590461e-09,3.8716677776643e-06,20704,ENSG00000105711,FALSE,FALSE,FALSE,layer_vs_rest,45;260;267;311;366;406;440,Layer4_top5;Layer4-Layer5_top10;Layer4-Layer6_top7;Layer4-WM_top1;Layer4-Layer1_top6;Layer4-Layer2_top6;Layer4-Layer3_top10
6,Layer4,NGB,6.85120029496738,1.61123757759498e-09,4.8618540987852e-06,15591,ENSG00000165553,FALSE,FALSE,FALSE,layer_vs_rest,46;257;269,Layer4_top6;Layer4-Layer5_top7;Layer4-Layer6_top9
7,Layer4,PVALB,6.83323190016325,1.74174165018502e-09,4.8618540987852e-06,21800,ENSG00000100362,FALSE,FALSE,TRUE,layer_vs_rest,47;262;316;392;401,Layer4_top7;Layer4-Layer6_top2;Layer4-WM_top6;Layer3-Layer2_top2;Layer4-Layer2_top1
8,Layer4,TPBG,6.74953617062373,2.5020170383093e-09,6.20806027583166e-06,7534,ENSG00000146242,TRUE,FALSE,TRUE,layer_vs_rest,48;255,Layer4_top8;Layer4-Layer5_top5
9,Layer4,SLC5A12,6.30879355318785,1.65624661049481e-08,2.84504946607382e-05,11659,ENSG00000148942,FALSE,FALSE,FALSE,layer_vs_rest,49,Layer4_top9
10,Layer4,NEFM,6.11742631518528,3.72327863510449e-08,5.88917446802142e-05,9853,ENSG00000104722,FALSE,FALSE,FALSE,layer_vs_rest,50;391;408,Layer4_top10;Layer3-Layer2_top1;Layer4-Layer2_top8
1,Layer5,PCP4,12.1021477659984,1.81340006038632e-19,4.0495036748487e-15,22225,ENSG00000183036,TRUE,TRUE,TRUE,layer_vs_rest,51;272;323;444;466,Layer5_top1;Layer5-Layer6_top2;Layer5-WM_top3;Layer5-Layer3_top4;Layer5-Layer4_top6
2,Layer5,CAMK2D,9.83900182680793,3.05076212160307e-15,3.40632844687591e-11,5548,ENSG00000145349,FALSE,FALSE,TRUE,layer_vs_rest,52;278;372;412;462,Layer5_top2;Layer5-Layer6_top8;Layer5-Layer1_top2;Layer5-Layer2_top2;Layer5-Layer4_top2
3,Layer5,SMYD2,8.22967511439948,3.76377198110857e-12,2.29799325173999e-08,1994,ENSG00000143499,FALSE,FALSE,TRUE,layer_vs_rest,53;277;328;376;414,Layer5_top3;Layer5-Layer6_top7;Layer5-WM_top8;Layer5-Layer1_top6;Layer5-Layer2_top4
4,Layer5,TRABD2A,8.19814359583443,4.32821860655721e-12,2.29799325173999e-08,2789,ENSG00000186854,FALSE,FALSE,TRUE,layer_vs_rest,54,Layer5_top4
5,Layer5,TMSB10,8.15911540933172,5.14529857986653e-12,2.29799325173999e-08,2790,ENSG00000034510,FALSE,FALSE,TRUE,layer_vs_rest,55,Layer5_top5
6,Layer5,HTR2C,8.00651454593567,1.01132992938993e-11,3.76400144220108e-08,9478,ENSG00000147246,TRUE,FALSE,TRUE,layer_vs_rest,56;469,Layer5_top6;Layer5-Layer4_top9
7,Layer5,VAT1L,7.86287997200977,1.90906410006971e-11,6.09018720266524e-08,17496,ENSG00000171724,TRUE,FALSE,TRUE,layer_vs_rest,57;450,Layer5_top7;Layer5-Layer3_top10
8,Layer5,RHO,7.69162537466564,4.06710193065406e-11,1.13528066516795e-07,4566,ENSG00000163914,FALSE,FALSE,TRUE,layer_vs_rest,58,Layer5_top8
9,Layer5,PID1,7.5671301453586,7.04081180111388e-11,1.74698187034082e-07,3643,ENSG00000153823,FALSE,FALSE,FALSE,layer_vs_rest,59,Layer5_top9
10,Layer5,KIF17,7.37784252345576,1.61854796777934e-10,3.61437946684804e-07,315,ENSG00000117245,FALSE,FALSE,FALSE,layer_vs_rest,60,Layer5_top10
1,Layer6,ISLR,9.62381843273433,7.83896921582275e-15,1.75052021558538e-10,16311,ENSG00000129009,FALSE,FALSE,TRUE,layer_vs_rest,61;430;460;477;484,Layer6_top1;Layer6-Layer2_top10;Layer6-Layer3_top10;Layer6-Layer4_top7;Layer6-Layer5_top4
2,Layer6,NR4A2,9.01660298295405,1.14686323454596e-13,1.01475498330018e-09,3178,ENSG00000153234,TRUE,TRUE,TRUE,layer_vs_rest,62;428;454;472;488,Layer6_top2;Layer6-Layer2_top8;Layer6-Layer3_top4;Layer6-Layer4_top2;Layer6-Layer5_top8
3,Layer6,MCTP2,8.97758518319437,1.36324613761163e-13,1.01475498330018e-09,16527,ENSG00000140563,FALSE,FALSE,FALSE,layer_vs_rest,63,Layer6_top3
4,Layer6,DACH1,8.78446132586971,3.2085558600679e-13,1.79125652277941e-09,14938,ENSG00000276644,FALSE,FALSE,TRUE,layer_vs_rest,64,Layer6_top4
5,Layer6,NTNG2,8.67464062530154,5.2216306858579e-13,2.33208469691785e-09,11252,ENSG00000196358,TRUE,FALSE,TRUE,layer_vs_rest,65;429;457,Layer6_top5;Layer6-Layer2_top9;Layer6-Layer3_top7
6,Layer6,SMIM32,8.47862647431532,1.24558519633657e-12,4.635860503232e-09,6441,ENSG00000271824,FALSE,FALSE,FALSE,layer_vs_rest,66,Layer6_top6
7,Layer6,OPRK1,8.2825258126267,2.97196930962722e-12,9.48100666475507e-09,10007,ENSG00000082556,TRUE,FALSE,TRUE,layer_vs_rest,67,Layer6_top7
8,Layer6,MMD,8.17214273455348,4.84762579469785e-12,1.25186276088011e-08,18591,ENSG00000108960,FALSE,FALSE,TRUE,layer_vs_rest,68,Layer6_top8
9,Layer6,KRT17,8.16312091523604,5.04534720698626e-12,1.25186276088011e-08,18321,ENSG00000128422,FALSE,FALSE,TRUE,layer_vs_rest,69;381;421;451;471;481,Layer6_top9;Layer6-Layer1_top1;Layer6-Layer2_top1;Layer6-Layer3_top1;Layer6-Layer4_top1;Layer6-Layer5_top1
10,Layer6,THEMIS,7.83282102373149,2.17665925110119e-11,4.41881615784914e-08,7735,ENSG00000172673,FALSE,FALSE,TRUE,layer_vs_rest,70,Layer6_top10
1,WM-Layer1,BCAS1,17.2341643263455,3.77085822016974e-27,4.36146557453185e-23,19839,ENSG00000064787,FALSE,FALSE,TRUE,paired_layers,71;82;92;102;115;125,WM-Layer1_top1;WM-Layer2_top2;WM-Layer3_top2;WM-Layer4_top2;WM-Layer5_top5;WM-Layer6_top5
2,WM-Layer1,MYRF,17.2236439587824,3.90619817700224e-27,4.36146557453185e-23,11871,ENSG00000124920,FALSE,FALSE,TRUE,paired_layers,72;81;93;105;116;122,WM-Layer1_top2;WM-Layer2_top1;WM-Layer3_top3;WM-Layer4_top5;WM-Layer5_top6;WM-Layer6_top2
3,WM-Layer1,MOBP,16.4119440606307,6.17904159661102e-26,3.73054899825252e-22,3978,ENSG00000168314,FALSE,FALSE,FALSE,paired_layers,73;83;91;103;114;128,WM-Layer1_top3;WM-Layer2_top3;WM-Layer3_top1;WM-Layer4_top3;WM-Layer5_top4;WM-Layer6_top8
4,WM-Layer1,MBP,16.3247444290403,8.35284805483973e-26,3.73054899825252e-22,19352,ENSG00000197971,FALSE,FALSE,TRUE,paired_layers,74;85;95;109;119,WM-Layer1_top4;WM-Layer2_top5;WM-Layer3_top5;WM-Layer4_top9;WM-Layer5_top9
5,WM-Layer1,SEPT4,15.7574771486399,6.07456387021392e-25,1.73370907674837e-21,18627,ENSG00000108387,FALSE,FALSE,FALSE,paired_layers,75;89,WM-Layer1_top5;WM-Layer2_top9
6,WM-Layer1,PLP1,15.6308974538052,9.50999808129568e-25,2.35964185726015e-21,9433,ENSG00000123560,FALSE,FALSE,TRUE,paired_layers,76;84;96,WM-Layer1_top6;WM-Layer2_top4;WM-Layer3_top6
7,WM-Layer1,CLDND1,15.0236772813287,8.39955856938427e-24,1.70518674920837e-20,4350,ENSG00000080822,FALSE,FALSE,FALSE,paired_layers,77;88;98,WM-Layer1_top7;WM-Layer2_top8;WM-Layer3_top8
8,WM-Layer1,CNDP1,14.8721634179364,1.45711832806053e-23,2.71157578199332e-20,19335,ENSG00000150656,FALSE,FALSE,FALSE,paired_layers,78,WM-Layer1_top8
9,WM-Layer1,NKX6-2,14.8427967030909,1.62185332617657e-23,2.78596974052684e-20,13454,ENSG00000148826,FALSE,FALSE,TRUE,paired_layers,79,WM-Layer1_top9
10,WM-Layer1,MAG,14.7662618905137,2.14519631245592e-23,3.42174134667522e-20,20716,ENSG00000105695,FALSE,FALSE,FALSE,paired_layers,80;86;97;120,WM-Layer1_top10;WM-Layer2_top6;WM-Layer3_top7;WM-Layer5_top10
1,WM-Layer2,MYRF,20.7826153277412,5.31491532620679e-32,1.18687374149524e-27,11871,ENSG00000124920,FALSE,FALSE,TRUE,paired_layers,72;81;93;105;116;122,WM-Layer1_top2;WM-Layer2_top1;WM-Layer3_top3;WM-Layer4_top5;WM-Layer5_top6;WM-Layer6_top2
2,WM-Layer2,BCAS1,19.5592743989065,2.13539841274196e-30,9.53711639098814e-27,19839,ENSG00000064787,FALSE,FALSE,TRUE,paired_layers,71;82;92;102;115;125,WM-Layer1_top1;WM-Layer2_top2;WM-Layer3_top2;WM-Layer4_top2;WM-Layer5_top5;WM-Layer6_top5
3,WM-Layer2,MOBP,19.3157998778143,4.53963803958465e-30,1.68957761769942e-26,3978,ENSG00000168314,FALSE,FALSE,FALSE,paired_layers,73;83;91;103;114;128,WM-Layer1_top3;WM-Layer2_top3;WM-Layer3_top1;WM-Layer4_top3;WM-Layer5_top4;WM-Layer6_top8
4,WM-Layer2,PLP1,19.0800734872134,9.4807228951721e-30,3.0244860424584e-26,9433,ENSG00000123560,FALSE,FALSE,TRUE,paired_layers,76;84;96,WM-Layer1_top6;WM-Layer2_top4;WM-Layer3_top6
5,WM-Layer2,MBP,18.9692450636392,1.34317987395479e-29,3.74931872066055e-26,19352,ENSG00000197971,FALSE,FALSE,TRUE,paired_layers,74;85;95;109;119,WM-Layer1_top4;WM-Layer2_top5;WM-Layer3_top5;WM-Layer4_top9;WM-Layer5_top9
6,WM-Layer2,MAG,18.7319990516484,2.84453660718559e-29,7.05792744167348e-26,20716,ENSG00000105695,FALSE,FALSE,FALSE,paired_layers,80;86;97;120,WM-Layer1_top10;WM-Layer2_top6;WM-Layer3_top7;WM-Layer5_top10
7,WM-Layer2,OPALIN,18.1644086991902,1.75761232822264e-28,3.92492409015397e-25,13171,ENSG00000197430,FALSE,FALSE,TRUE,paired_layers,87,WM-Layer2_top7
8,WM-Layer2,CLDND1,17.7239825782699,7.40964187238109e-28,1.50422466047402e-24,4350,ENSG00000080822,FALSE,FALSE,FALSE,paired_layers,77;88;98,WM-Layer1_top7;WM-Layer2_top8;WM-Layer3_top8
9,WM-Layer2,SEPT4,17.3235715539359,2.79593435659743e-27,4.50497151562857e-24,18627,ENSG00000108387,FALSE,FALSE,FALSE,paired_layers,75;89,WM-Layer1_top5;WM-Layer2_top9
10,WM-Layer2,EVI2A,17.1983017211598,4.25272884732285e-27,6.33117919263778e-24,18141,ENSG00000126860,FALSE,FALSE,TRUE,paired_layers,90,WM-Layer2_top10
1,WM-Layer3,MOBP,20.1177627883646,3.87872664290009e-31,2.21060461034778e-27,3978,ENSG00000168314,FALSE,FALSE,FALSE,paired_layers,73;83;91;103;114;128,WM-Layer1_top3;WM-Layer2_top3;WM-Layer3_top1;WM-Layer4_top3;WM-Layer5_top4;WM-Layer6_top8
2,WM-Layer3,BCAS1,20.1154115319152,3.9064076498808e-31,2.21060461034778e-27,19839,ENSG00000064787,FALSE,FALSE,TRUE,paired_layers,71;82;92;102;115;125,WM-Layer1_top1;WM-Layer2_top2;WM-Layer3_top2;WM-Layer4_top2;WM-Layer5_top5;WM-Layer6_top5
3,WM-Layer3,MYRF,20.1109314403241,3.95970554000767e-31,2.21060461034778e-27,11871,ENSG00000124920,FALSE,FALSE,TRUE,paired_layers,72;81;93;105;116;122,WM-Layer1_top2;WM-Layer2_top1;WM-Layer3_top3;WM-Layer4_top5;WM-Layer5_top6;WM-Layer6_top2
4,WM-Layer3,GFAP,19.8483940538916,8.79364181095971e-31,3.92741630561083e-27,18436,ENSG00000131095,FALSE,FALSE,TRUE,paired_layers,94;101;111;121;131;142;153,WM-Layer3_top4;WM-Layer4_top1;WM-Layer5_top1;WM-Layer6_top1;Layer1-Layer2_top1;Layer1-Layer3_top2;Layer1-Layer4_top3
5,WM-Layer3,MBP,18.9714205256029,1.33400881967557e-29,4.9649584920292e-26,19352,ENSG00000197971,FALSE,FALSE,TRUE,paired_layers,74;85;95;109;119,WM-Layer1_top4;WM-Layer2_top5;WM-Layer3_top5;WM-Layer4_top9;WM-Layer5_top9
6,WM-Layer3,PLP1,18.5936886521526,4.41841787866379e-29,1.40953842354916e-25,9433,ENSG00000123560,FALSE,FALSE,TRUE,paired_layers,76;84;96,WM-Layer1_top6;WM-Layer2_top4;WM-Layer3_top6
7,WM-Layer3,MAG,18.086175362104,2.26569434703412e-28,5.05952204636189e-25,20716,ENSG00000105695,FALSE,FALSE,FALSE,paired_layers,80;86;97;120,WM-Layer1_top10;WM-Layer2_top6;WM-Layer3_top7;WM-Layer5_top10
8,WM-Layer3,CLDND1,17.3763836979998,2.34414213939563e-27,4.36225317623699e-24,4350,ENSG00000080822,FALSE,FALSE,FALSE,paired_layers,77;88;98,WM-Layer1_top7;WM-Layer2_top8;WM-Layer3_top8
9,WM-Layer3,HS3ST4,17.2525814810288,3.54523499840905e-27,6.05691030549048e-24,16991,ENSG00000182601,FALSE,FALSE,TRUE,paired_layers,99;384;432;441;452;467;475,WM-Layer3_top9;Layer6-Layer1_top4;Layer4-Layer3_top2;Layer5-Layer3_top1;Layer6-Layer3_top2;Layer5-Layer4_top7;Layer6-Layer4_top5
10,WM-Layer3,LPAR1,17.2320819281632,3.797265875996e-27,6.05691030549048e-24,11021,ENSG00000198121,FALSE,FALSE,TRUE,paired_layers,100,WM-Layer3_top10
1,WM-Layer4,GFAP,21.1892829181245,1.61157331732876e-32,1.83546015237861e-28,18436,ENSG00000131095,FALSE,FALSE,TRUE,paired_layers,94;101;111;121;131;142;153,WM-Layer3_top4;WM-Layer4_top1;WM-Layer5_top1;WM-Layer6_top1;Layer1-Layer2_top1;Layer1-Layer3_top2;Layer1-Layer4_top3
2,WM-Layer4,BCAS1,17.0583405636443,6.80990092424559e-27,1.68968775043698e-23,19839,ENSG00000064787,FALSE,FALSE,TRUE,paired_layers,71;82;92;102;115;125,WM-Layer1_top1;WM-Layer2_top2;WM-Layer3_top2;WM-Layer4_top2;WM-Layer5_top5;WM-Layer6_top5
3,WM-Layer4,MOBP,16.9263265029729,1.0640149700091e-26,2.1600471177521e-23,3978,ENSG00000168314,FALSE,FALSE,FALSE,paired_layers,73;83;91;103;114;128,WM-Layer1_top3;WM-Layer2_top3;WM-Layer3_top1;WM-Layer4_top3;WM-Layer5_top4;WM-Layer6_top8
4,WM-Layer4,AQP1,16.7737541950492,1.78682891849037e-26,3.3251397149007e-23,8201,ENSG00000240583,FALSE,FALSE,TRUE,paired_layers,3;104;112;124,WM_top3;WM-Layer4_top4;WM-Layer5_top2;WM-Layer6_top4
5,WM-Layer4,MYRF,16.0678707360207,2.04109888808562e-25,3.03040376912113e-22,11871,ENSG00000124920,FALSE,FALSE,TRUE,paired_layers,72;81;93;105;116;122,WM-Layer1_top2;WM-Layer2_top1;WM-Layer3_top3;WM-Layer4_top5;WM-Layer5_top6;WM-Layer6_top2
6,WM-Layer4,MAL,15.8184811312351,4.89790719900879e-25,6.43383327418031e-22,2851,ENSG00000172005,FALSE,FALSE,TRUE,paired_layers,106;118,WM-Layer4_top6;WM-Layer5_top8
7,WM-Layer4,NFIA,15.7617193465439,5.98420209296044e-25,7.03332720725787e-22,845,ENSG00000162599,FALSE,FALSE,TRUE,paired_layers,107,WM-Layer4_top7
8,WM-Layer4,TLE4,15.5125590512795,1.44865615072107e-24,1.34791418757301e-21,10842,ENSG00000106829,TRUE,TRUE,TRUE,paired_layers,108;474,WM-Layer4_top8;Layer6-Layer4_top4
9,WM-Layer4,MBP,15.4993446869227,1.51853163667244e-24,1.35641319914129e-21,19352,ENSG00000197971,FALSE,FALSE,TRUE,paired_layers,74;85;95;109;119,WM-Layer1_top4;WM-Layer2_top5;WM-Layer3_top5;WM-Layer4_top9;WM-Layer5_top9
10,WM-Layer4,NDRG1,15.285532097551,3.264253293613e-24,2.69977927035822e-21,10404,ENSG00000104419,FALSE,FALSE,TRUE,paired_layers,1;110;113;127,WM_top1;WM-Layer4_top10;WM-Layer5_top3;WM-Layer6_top7
1,WM-Layer5,GFAP,17.9953004524115,3.04570316217477e-28,6.33322752872701e-24,18436,ENSG00000131095,FALSE,FALSE,TRUE,paired_layers,94;101;111;121;131;142;153,WM-Layer3_top4;WM-Layer4_top1;WM-Layer5_top1;WM-Layer6_top1;Layer1-Layer2_top1;Layer1-Layer3_top2;Layer1-Layer4_top3
2,WM-Layer5,AQP1,15.6328303577937,9.44498446223085e-25,1.91741770932797e-21,8201,ENSG00000240583,FALSE,FALSE,TRUE,paired_layers,3;104;112;124,WM_top3;WM-Layer4_top4;WM-Layer5_top2;WM-Layer6_top4
3,WM-Layer5,NDRG1,15.0601838341232,7.35873310700557e-24,1.08734821081729e-20,10404,ENSG00000104419,FALSE,FALSE,TRUE,paired_layers,1;110;113;127,WM_top1;WM-Layer4_top10;WM-Layer5_top3;WM-Layer6_top7
4,WM-Layer5,MOBP,15.0279394724428,8.27075004019047e-24,1.08734821081729e-20,3978,ENSG00000168314,FALSE,FALSE,FALSE,paired_layers,73;83;91;103;114;128,WM-Layer1_top3;WM-Layer2_top3;WM-Layer3_top1;WM-Layer4_top3;WM-Layer5_top4;WM-Layer6_top8
5,WM-Layer5,BCAS1,14.9562297818682,1.07299622274507e-23,1.33117103611779e-20,19839,ENSG00000064787,FALSE,FALSE,TRUE,paired_layers,71;82;92;102;115;125,WM-Layer1_top1;WM-Layer2_top2;WM-Layer3_top2;WM-Layer4_top2;WM-Layer5_top5;WM-Layer6_top5
