top,layer,gene,tstat,pval,fdr,gene_index,ensembl,KM_Zeng,BM,RNAscope,test,in_rows,results
1,WM,NDRG1,16.305285560048,1.25895920957258e-26,2.51371850752735e-22,10404,ENSG00000104419,FALSE,FALSE,TRUE,layer_vs_rest,1;110;113;127,WM_top1;WM-Layer4_top10;WM-Layer5_top3;WM-Layer6_top7
2,WM,PTP4A2,16.1469455180452,2.25132641397819e-26,2.51371850752735e-22,487,ENSG00000184007,FALSE,FALSE,FALSE,layer_vs_rest,2;126,WM_top2;WM-Layer6_top6
3,WM,AQP1,15.9926624595169,3.97848849394341e-26,2.96145421860834e-22,8201,ENSG00000240583,FALSE,FALSE,TRUE,layer_vs_rest,3;104;112;124,WM_top3;WM-Layer4_top4;WM-Layer5_top2;WM-Layer6_top4
4,WM,PAQR6,15.1971392632762,7.86257708987196e-25,4.38948022484827e-21,1501,ENSG00000160781,FALSE,FALSE,TRUE,layer_vs_rest,4;130,WM_top4;WM-Layer6_top10
5,WM,ANP32B,14.9797807840811,1.80183460241579e-24,8.04735370130942e-21,10962,ENSG00000136938,FALSE,FALSE,FALSE,layer_vs_rest,5;123,WM_top5;WM-Layer6_top3
6,WM,JAM3,14.7412615001606,4.50755912879444e-24,1.67294600735911e-20,12600,ENSG00000166086,FALSE,FALSE,TRUE,layer_vs_rest,6,WM_top6
7,WM,PHLDB1,14.6841366980277,5.62061523745591e-24,1.67294600735911e-20,12462,ENSG00000019144,FALSE,FALSE,FALSE,layer_vs_rest,7,WM_top7
8,WM,PMP22,14.6675397038057,5.99326857680932e-24,1.67294600735911e-20,17940,ENSG00000109099,FALSE,FALSE,TRUE,layer_vs_rest,8,WM_top8
9,WM,MTUS1,14.277941549829,2.73210028179198e-23,6.77894793252186e-20,9790,ENSG00000129422,FALSE,FALSE,FALSE,layer_vs_rest,9;117,WM_top9;WM-Layer5_top7
10,WM,PLEKHG3,14.2258815222975,3.35095433441032e-23,7.48301612417168e-20,15450,ENSG00000126822,FALSE,FALSE,FALSE,layer_vs_rest,10,WM_top10
1,Layer1,MT1G,14.2364432031911,3.16046373142815e-23,7.0576315586522e-19,17246,ENSG00000125144,FALSE,FALSE,FALSE,layer_vs_rest,11;133;141;151;161;171;282,Layer1_top1;Layer1-Layer2_top3;Layer1-Layer3_top1;Layer1-Layer4_top1;Layer1-Layer5_top1;Layer1-Layer6_top1;Layer1-WM_top2
