symbol,list,species,m,gene_name,ensembl,models,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,WM,p_value,fdr,t_stat,log_fc,rank,mean_expr,best_gene_m,best_gene_name,best_gene_ensembl,best_gene_p_value,best_gene_fdr,best_gene_t_stat,best_gene_log_fc,best_gene_mean_expr
Cbln2,KM,MH,19327,CBLN2,ENSG00000141668,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,3.63480904863348e-13,9.01876898500379e-10,8.75693661909903,0.849235306441518,9,6.94632773063223,19400,FKBP1A,ENSG00000088832,3.74992352727337e-18,8.37395422875416e-14,11.3855898306251,0.676659551602402,9.15939202620737
Rxfp1,KM,MH,5706,RXFP1,ENSG00000171509,Layer5+Layer6,0,0,0,0,1,1,0,5.52910268245963e-13,5.3682779131307e-10,8.66252549838369,1.82054243064469,23,5.25637563396338,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Cdh24,KM,MH,15160,CDH24,ENSG00000139880,Layer6+WM,0,0,0,0,0,1,1,5.9816192135001e-13,6.36073993603194e-11,8.64416630735512,1.48598014973608,210,3.79575092470007,7750,CTGF,ENSG00000118523,9.36602812072908e-28,2.09152773964001e-23,17.0120506926202,1.95273914712825,5.64116013118915
Gabra5,KM,MH,15864,GABRA5,ENSG00000186297,Layer5+Layer6,0,0,0,0,1,1,0,1.16860719409727e-12,1.00369874043793e-09,8.49375652484233,0.790619866372567,26,7.28115360766508,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Cartpt,BM,MH,6121,CARTPT,ENSG00000164326,Layer3,0,0,1,0,0,0,0,2.072555835597e-12,4.62822443647165e-08,8.36374299099679,2.26423381677419,1,6.42682346372285,6121,CARTPT,ENSG00000164326,2.072555835597e-12,4.62822443647165e-08,8.36374299099679,2.26423381677419,6.42682346372285
Oprk1,KM,H,10007,OPRK1,ENSG00000082556,Layer6,0,0,0,0,0,1,0,2.97196930962722e-12,9.48100666475507e-09,8.2825258126267,1.86671770988849,7,3.45767347821224,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Rprm,KM,MH,3175,RPRM,ENSG00000177519,Layer5+Layer6,0,0,0,0,1,1,0,3.68584075767656e-12,2.65511322450565e-09,8.23465396029384,1.40863896079014,31,5.04681921753106,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Cacna1e,KM,H,1758,CACNA1E,ENSG00000198216,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,5.20824629864164e-12,7.75368987299776e-09,8.1564550783121,0.651596602672381,15,6.48298239626441,19400,FKBP1A,ENSG00000088832,3.74992352727337e-18,8.37395422875416e-14,11.3855898306251,0.676659551602402,9.15939202620737
Fezf2,BM,MH,4268,FEZF2,ENSG00000153266,Layer5+Layer6,0,0,0,0,1,1,0,5.50052628127432e-12,3.50949292534677e-09,8.1442966732415,1.97745780893792,35,4.61550258706588,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Htr2c,KM,H,9478,HTR2C,ENSG00000147246,Layer5,0,0,0,0,1,0,0,1.0113299293899e-11,3.76400144220098e-08,8.00651454593568,2.16745477710829,6,2.42959216147133,22225,PCP4,ENSG00000183036,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,8.23855286998732
Pde1a,KM,MH,3346,PDE1A,ENSG00000115252,Layer4+Layer5+Layer6,0,0,0,1,1,1,0,1.40427285601228e-11,3.19987930077655e-09,7.9332465430323,0.69427857810378,98,6.72099990943864,13893,TUBA1B,ENSG00000123416,1.22601505978183e-18,1.54432652284025e-14,11.6508316163628,0.617837628400697,12.1436275522825
Vat1l,KM,MH,17496,VAT1L,ENSG00000171724,Layer5,0,0,0,0,1,0,0,1.90906410006975e-11,6.09018720266537e-08,7.86287997200977,1.4731463853995,7,5.77461913903926,22225,PCP4,ENSG00000183036,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,8.23855286998732
Gsg1L,KM,MH,17003,GSG1L,ENSG00000169181,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,1.15524404803142e-10,9.55472401355172e-08,7.45466611426525,0.870763069544432,27,4.98943248437365,19400,FKBP1A,ENSG00000088832,3.74992352727337e-18,8.37395422875416e-14,11.3855898306251,0.676659551602402,9.15939202620737
C1ql2,KM,H,3040,C1QL2,ENSG00000144119,Layer2,0,1,0,0,0,0,0,1.38107106140704e-10,2.14783026801416e-07,7.41375406759863,2.65914670979876,14,5.40103819519814,15403,DACT1,ENSG00000165617,4.67588095376895e-15,1.04417097578615e-10,9.7414105700426,2.16028204661245,4.03020959264466
mef2c,BM,MH,6227,MEF2C,ENSG00000081189,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,2.40670368073828e-10,5.97156665495184e-08,7.28713353739149,0.616205934719241,90,9.27811448206101,8315,VSTM2A,ENSG00000170419,1.0308007000158e-17,2.30188104320529e-13,11.1481218349682,1.00821937847541,7.43945153359609
Etv1,BM,MH,8095,ETV1,ENSG00000006468,Layer5,0,0,0,0,1,0,0,5.79325271347345e-10,1.07807605287146e-06,7.08652427754317,1.15523509686536,12,6.07655419508105,22225,PCP4,ENSG00000183036,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,8.23855286998732
Bhlhe22,BM,MH,10061,BHLHE22,ENSG00000180828,Layer2+Layer3+Layer4+Layer5,0,1,1,1,1,0,0,1.14648280474126e-09,4.2561533647368e-08,6.93023731908654,1.56398276664272,601,3.73251031261741,16941,CRYM,ENSG00000103316,1.48269393176592e-24,3.31100381902647e-20,15.0262640965323,0.942930518260972,8.64098305919561
Sema3e,BM,MH,8434,SEMA3E,ENSG00000170381,Layer5+Layer6,0,0,0,0,1,1,0,1.61920830268392e-09,4.69591436457594e-07,6.85037384691272,2.21234281394355,77,4.53335940022049,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Trib2,KM,MH,2333,TRIB2,ENSG00000071575,Layer4+Layer5,0,0,0,1,1,0,0,1.98102699317101e-09,4.74103644230701e-07,6.80398184650083,0.583260982562785,93,6.04525468052117,19721,PTPRT,ENSG00000196090,1.45716095794925e-18,3.25398613519646e-14,11.6089230879666,0.942286088519858,6.4413150192499
Kcnip2,KM,MH,13247,KCNIP2,ENSG00000120049,Layer2+Layer3,0,1,1,0,0,0,0,3.46380912117994e-09,5.72965344333846e-07,6.67404443351479,0.95022072505137,135,6.45405947248097,6121,CARTPT,ENSG00000164326,5.54857025277544e-19,1.23905122314728e-14,11.8347747970387,2.1835719060187,6.42682346372285
kitlg,BM,MH,14273,KITLG,ENSG00000049130,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,3.88746847406781e-09,4.82283658302268e-07,6.64734176749336,0.724588728658879,180,5.46280568508611,8315,VSTM2A,ENSG00000170419,1.0308007000158e-17,2.30188104320529e-13,11.1481218349682,1.00821937847541,7.43945153359609
Slitrk1,BM,MH,14969,SLITRK1,ENSG00000178235,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,4.54495619561007e-09,1.59489285454064e-06,6.6112962534296,0.533262005834803,63,6.66150038077412,19400,FKBP1A,ENSG00000088832,3.74992352727337e-18,8.37395422875416e-14,11.3855898306251,0.676659551602402,9.15939202620737
Scn3b,KM,H,12519,SCN3B,ENSG00000166257,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,1.04051761422425e-08,2.94124035990401e-06,6.41805630144103,0.441519954835002,79,8.90639470653864,19400,FKBP1A,ENSG00000088832,3.74992352727337e-18,8.37395422875416e-14,11.3855898306251,0.676659551602402,9.15939202620737
Kcnk2,KM,MH,1997,KCNK2,ENSG00000082482,Layer5+Layer6,0,0,0,0,1,1,0,1.04816116172573e-08,2.1875221404203e-06,6.41643103563244,1.43796047527764,107,3.46197099785607,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Synpr,KM,H,4271,SYNPR,ENSG00000163630,Layer6,0,0,0,0,0,1,0,1.23181841109913e-08,9.48542653043262e-06,6.37823833953368,0.718991769395861,29,8.0625861648923,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Cck,KM,MH,3990,CCK,ENSG00000187094,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,1.36812965576475e-08,3.68092811360032e-06,6.35387273030536,0.555512646375639,83,11.7060609816541,19400,FKBP1A,ENSG00000088832,3.74992352727337e-18,8.37395422875416e-14,11.3855898306251,0.676659551602402,9.15939202620737
Fam3c,KM,MH,8712,FAM3C,ENSG00000196937,Layer2+Layer4+Layer5,0,1,0,1,1,0,0,2.43179879279771e-08,2.58592851628407e-05,6.21847302362786,0.516128123196341,21,8.38240341983382,22225,PCP4,ENSG00000183036,1.92197970849079e-12,4.29197288703078e-08,8.38146890358075,1.18117739771283,8.23855286998732
Anxa1,KM,H,10823,ANXA1,ENSG00000135046,Layer6,0,0,0,0,0,1,0,2.43358135472144e-08,1.69959185669601e-05,6.21800758803537,0.982323102486849,31,5.17482814040124,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Fxyd6,KM,MH,12440,FXYD6,ENSG00000137726,Layer2+Layer3+Layer5+Layer6,0,1,1,0,1,1,0,9.19581581498678e-08,7.55749584961711e-06,5.90214110277154,0.300736155465851,271,10.0973815289367,16123,ARPP19,ENSG00000128989,1.6870551404757e-15,3.76736283419629e-11,9.97536272510323,0.47446714649061,10.7203760097119
Rasgrf2,KM,MH,6199,RASGRF2,ENSG00000113319,Layer2,0,1,0,0,0,0,0,1.05148842847746e-07,3.21654631456579e-05,5.86948030272093,1.16676013552592,73,7.06685768772586,15403,DACT1,ENSG00000165617,4.67588095376895e-15,1.04417097578615e-10,9.7414105700426,2.16028204661245,4.03020959264466
Dkk3,BM,MH,11584,DKK3,ENSG00000050165,Layer5+Layer6,0,0,0,0,1,1,0,2.4117518238019e-07,3.0952201136391e-05,5.66893800034828,0.343307656055193,174,10.2016079072191,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Rorb,KM+BM,MH,10825,RORB,ENSG00000198963,Layer4,0,0,0,1,0,0,0,2.91103728235592e-07,0.000306825409289619,5.62290653162957,1.40751829212888,21,6.29958746088769,13544,VAMP1,ENSG00000139190,2.50371851754085e-12,4.94427546971307e-08,8.32138407748485,1.27196952053285,7.01766269947409
Tle1,BM,MH,10844,TLE1,ENSG00000196781,Layer2+Layer3,0,1,1,0,0,0,0,3.76374449941445e-07,2.70251377544772e-05,5.56000565367425,0.440158671917577,311,6.13157202654975,6121,CARTPT,ENSG00000164326,5.54857025277544e-19,1.23905122314728e-14,11.8347747970387,2.1835719060187,6.42682346372285
gpr6,BM,MH,7651,GPR6,ENSG00000146360,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,3.94919855649444e-07,1.50494117687845e-05,5.54826102541514,1.41521082023054,586,3.27602510562836,8315,VSTM2A,ENSG00000170419,1.0308007000158e-17,2.30188104320529e-13,11.1481218349682,1.00821937847541,7.43945153359609
Tox,KM,MH,10036,TOX,ENSG00000198846,Layer5+Layer6,0,0,0,0,1,1,0,4.24852680655476e-07,4.76753025714444e-05,5.53055166265082,0.922694268352285,199,5.51083506827085,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Pcdh17,KM,H,14929,PCDH17,ENSG00000118946,Layer6,0,0,0,0,0,1,0,4.54608283473249e-07,0.00016615848726014,5.51368504907557,0.95739918112465,61,6.42238162597372,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Pou3F1,BM,MH,590,POU3F1,ENSG00000185668,Layer2+Layer3+Layer4+Layer5,0,1,1,1,1,0,0,1.03453876612794e-06,1.24675041480858e-05,5.31049980462701,1.25304057930564,1853,1.84088230774711,16941,CRYM,ENSG00000103316,1.48269393176592e-24,3.31100381902647e-20,15.0262640965323,0.942930518260972,8.64098305919561
Bend5,KM,MH,754,BEND5,ENSG00000162373,Layer3+Layer5,0,0,1,0,1,0,0,1.25029681599065e-06,0.00310226424420968,5.26290456826557,0.745562961150171,9,6.0648671191567,13092,SNCG,ENSG00000173267,4.18938482764017e-08,0.000935531525860327,6.0894840534007,0.803594557671122,9.28614193087438
unc5d,BM,MH,9918,UNC5D,ENSG00000156687,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,4.6333016258527e-06,9.92958335958894e-05,4.93044487391432,0.643028779406953,1042,5.2184643438229,8315,VSTM2A,ENSG00000170419,1.0308007000158e-17,2.30188104320529e-13,11.1481218349682,1.00821937847541,7.43945153359609
Atp2b4,KM,MH,1884,ATP2B4,ENSG00000058668,Layer2+Layer5+Layer6,0,1,0,0,1,1,0,8.50909611200986e-06,0.000597536557475762,4.77300085333028,0.335730916632553,318,7.90133537010098,12914,PHYHIPL,ENSG00000165443,6.51229760892159e-18,1.45426117904828e-13,11.257280317537,0.460388063266285,8.68377689274148
Cnr1,KM,MH,7564,CNR1,ENSG00000118432,Layer1+Layer2+Layer6,1,1,0,0,0,1,0,1.14887265384307e-05,0.0018726624257642,4.69406881752546,0.725879497587347,137,6.99768873598948,19322,DOK6,ENSG00000206052,4.90710863789389e-17,6.56136209871028e-13,10.7860313605437,0.796596810208929,6.66529136869543
Pcp4,KM,MH,22225,PCP4,ENSG00000183036,Layer3+Layer4+Layer5+Layer6,0,0,1,1,1,1,0,1.15228840187786e-05,0.000118798487083723,4.6937887736557,0.834772861955071,2166,8.23855286998732,6256,PCSK1,ENSG00000175426,1.14753183214474e-24,1.5055434005053e-20,15.0991212764992,1.60989033015415,6.33782138131468
Tle4,KM,MH,10842,TLE4,ENSG00000106829,Layer6,0,0,0,0,0,1,0,1.4776581390288e-05,0.00289452490374141,4.62749777911919,1.04522480523564,114,6.01131268920118,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Crim1,BM,MH,2498,CRIM1,ENSG00000150938,Layer5,0,0,0,0,1,0,0,2.51967046132324e-05,0.00345194853201284,4.48495045582073,0.469750358661671,163,6.77885554915644,22225,PCP4,ENSG00000183036,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,8.23855286998732
Cpne7,KM,MH,17634,CPNE7,ENSG00000178773,Layer5+Layer6,0,0,0,0,1,1,0,2.99782163393719e-05,0.0013776497325514,4.43806590364537,0.605202160062953,485,5.90091884764552,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Tle4,BM,MH,10842,TLE4,ENSG00000106829,Layer5+Layer6,0,0,0,0,1,1,0,5.23016786271584e-05,0.00208935382007706,4.28597453670663,0.772816932344051,559,6.01131268920118,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Penk,KM,MH,10027,PENK,ENSG00000181195,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,5.26789827837249e-05,0.00208207852131568,4.28396246438918,1.28566591647095,565,4.3240270925714,19400,FKBP1A,ENSG00000088832,3.74992352727337e-18,8.37395422875416e-14,11.3855898306251,0.676659551602402,9.15939202620737
Syt6,KM,MH,1187,SYT6,ENSG00000134207,Layer6,0,0,0,0,0,1,0,0.000114407318996523,0.0124625845878603,4.06698315473735,1.11233591373276,205,2.66205334630316,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Th,KM,MH,11472,TH,ENSG00000180176,Layer6,0,0,0,0,0,1,0,0.00015256426325622,0.0154859661944302,3.98487135973395,0.98212463155196,220,0.767626415957635,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Bcl11B,BM,MH,15716,BCL11B,ENSG00000127152,Layer5+Layer6,0,0,0,0,1,1,0,0.000178217433167223,0.00534440585136514,3.94023107260353,0.660727285320402,744,4.67006681016579,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Satb2,BM,MH,3418,SATB2,ENSG00000119042,Layer2+Layer3,0,1,1,0,0,0,0,0.000300429544537962,0.00461092244610119,3.78764977724506,0.413342459827368,1455,7.17600847600391,6121,CARTPT,ENSG00000164326,5.54857025277544e-19,1.23905122314728e-14,11.8347747970387,2.1835719060187,6.42682346372285
Foxp2,KM+BM,MH,8689,FOXP2,ENSG00000128573,Layer6,0,0,0,0,0,1,0,0.000383113264138707,0.0291989839641006,3.71544990438013,1.2895420742778,293,4.02568265898571,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Tbr1,BM,MH,3209,TBR1,ENSG00000136535,Layer2+Layer3+Layer5+Layer6,0,1,1,0,1,1,0,0.000553827812653787,0.00489609219492151,3.60452746631443,0.498346214215737,2526,7.5194313636871,16123,ARPP19,ENSG00000128989,1.6870551404757e-15,3.76736283419629e-11,9.97536272510323,0.47446714649061,10.7203760097119
Crym,KM,MH,16941,CRYM,ENSG00000103316,Layer2+Layer3+Layer5+Layer6,0,1,1,0,1,1,0,0.000618934168857082,0.00532822626243157,3.57062869406086,0.412238892290263,2594,8.64098305919561,16123,ARPP19,ENSG00000128989,1.6870551404757e-15,3.76736283419629e-11,9.97536272510323,0.47446714649061,10.7203760097119
Rac3,BM,MH,18966,RAC3,ENSG00000169750,Layer2+Layer3+Layer5,0,1,1,0,1,0,0,0.000690031793101628,0.00703611870856277,3.53717489166314,0.400983242676953,2190,5.93041167917487,5702,FAM198B,ENSG00000164125,2.82887732613666e-14,6.31716595699578e-10,-9.33334432562621,-0.686573532589193,6.6899812227886
Pdyn,KM,H,19409,PDYN,ENSG00000101327,Layer4,0,0,0,1,0,0,0,0.0016498657036047,0.0498749142320954,3.26247586399195,1.10900352529433,738,1.88179886257827,13544,VAMP1,ENSG00000139190,2.50371851754085e-12,4.94427546971307e-08,8.32138407748485,1.27196952053285,7.01766269947409
Kcna1,KM,H,13530,KCNA1,ENSG00000111262,Layer3+Layer5+Layer6,0,0,1,0,1,1,0,0.00206347820080109,0.0247872682636305,3.18971431230657,0.424257753314631,1859,6.00617097237567,14498,WSB2,ENSG00000176871,4.28038467753848e-10,9.55852702341119e-06,7.15615766252993,0.379212744011123,9.34448195501661
Sncg,KM,H,13092,SNCG,ENSG00000173267,Layer3+Layer5+Layer6,0,0,1,0,1,1,0,0.00215054636378194,0.0254983140796148,3.17614642086814,0.44798133181317,1883,9.28614193087438,14498,WSB2,ENSG00000176871,4.28038467753848e-10,9.55852702341119e-06,7.15615766252993,0.379212744011123,9.34448195501661
Syt17,KM,MH,16916,SYT17,ENSG00000103528,Layer2+Layer3+Layer5,0,1,1,0,1,0,0,0.00230186913288308,0.0167512408745973,3.15369679397304,0.321191554436777,3068,5.9718902488809,5702,FAM198B,ENSG00000164125,2.82887732613666e-14,6.31716595699578e-10,-9.33334432562621,-0.686573532589193,6.6899812227886
Cartpt,KM,MH,6121,CARTPT,ENSG00000164326,Layer2,0,1,0,0,0,0,0,0.00258917888083571,0.0418674537204505,3.11469807364231,1.31712305495624,1381,6.42682346372285,15403,DACT1,ENSG00000165617,4.67588095376895e-15,1.04417097578615e-10,9.7414105700426,2.16028204661245,4.03020959264466
Kcnh4,KM,H,18344,KCNH4,ENSG00000089558,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,0.003026919646205,0.034896304914509,3.06245933553022,0.879077867415921,1937,3.36157060447968,19400,FKBP1A,ENSG00000088832,3.74992352727337e-18,8.37395422875416e-14,11.3855898306251,0.676659551602402,9.15939202620737
Chrna7,KM,MH,15891,CHRNA7,ENSG00000175344,Layer1+Layer2,1,1,0,0,0,0,0,0.00505269005650695,0.0423860336783835,2.8868389345284,0.544023139043562,2662,0.537034114386893,7564,CNR1,ENSG00000118432,9.29506329941444e-24,2.07568058539224e-19,14.547278824171,1.57770860554178,6.99768873598948
Mfge8,KM,H,16465,MFGE8,ENSG00000140545,Layer3,0,0,1,0,0,0,0,0.00623316700276209,0.152564681445642,2.81282928516465,0.409571673253065,912,7.06721716011403,6121,CARTPT,ENSG00000164326,2.072555835597e-12,4.62822443647165e-08,8.36374299099679,2.26423381677419,6.42682346372285
Lxn,BM,MH,4734,LXN,ENSG00000079257,Layer6,0,0,0,0,0,1,0,0.00798690735579793,0.173594317161204,-2.72381725066464,-0.746240434249551,1027,2.42587474980552,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Adra2a,KM,MH,13319,ADRA2A,ENSG00000150594,Layer6+WM,0,0,0,0,0,1,1,0.00851469726288676,0.0299624495079616,2.70053941565205,0.36776711800907,6346,4.97267275894568,7750,CTGF,ENSG00000118523,9.36602812072908e-28,2.09152773964001e-23,17.0120506926202,1.95273914712825,5.64116013118915
Akr1c2,KM,H,12637,AKR1C2,ENSG00000151632,Layer6,0,0,0,0,0,1,0,0.0115422866206513,0.205871248023773,2.58797545921984,0.641604400746179,1252,4.18786200477127,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Chrna3,KM,H,16383,CHRNA3,ENSG00000080644,Layer4,0,0,0,1,0,0,0,0.0129803771428478,0.146618513898297,-2.54367298423761,-0.544883542101905,1977,0.460325093792695,13544,VAMP1,ENSG00000139190,2.50371851754085e-12,4.94427546971307e-08,8.32138407748485,1.27196952053285,7.01766269947409
MarcksL1,BM,MH,500,MARCKSL1,ENSG00000175130,Layer2+Layer5,0,1,0,0,1,0,0,0.0137062409963959,0.137517614428015,-2.52297352889877,-0.432970864867394,2225,9.33362240437381,18108,SEZ6,ENSG00000063015,9.93842839671991e-14,2.21935044527152e-09,9.04938062165288,0.660133581392092,6.33563284864135
Cyr61,KM,MH,967,CYR61,ENSG00000142871,Layer6+WM,0,0,0,0,0,1,1,0.0151180765999753,0.0476703994004588,2.48537229082032,0.47209858210061,7082,4.3714972987931,7750,CTGF,ENSG00000118523,9.36602812072908e-28,2.09152773964001e-23,17.0120506926202,1.95273914712825,5.64116013118915
Akr1c3,KM,H,12638,AKR1C3,ENSG00000196139,Layer6,0,0,0,0,0,1,0,0.0228591937712791,0.284859741130822,-2.32249762286681,-0.524283784717099,1792,4.60125603309751,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Nefh,BM,MH,21708,NEFH,ENSG00000100285,Layer5,0,0,0,0,1,0,0,0.0243047975109724,0.251279043818957,2.29771541257318,0.636885642704683,2159,7.45715300836176,22225,PCP4,ENSG00000183036,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,8.23855286998732
Lmo3,BM,MH,13702,LMO3,ENSG00000048540,Layer3+Layer6,0,0,1,0,0,1,0,0.0243903197728339,0.318887722978427,2.29628363929164,0.173656636304904,1708,8.89544079692397,3110,TUBA3D,ENSG00000075886,3.27468732158247e-09,7.31270425782581e-05,6.6872367047199,0.895643861827224,0.390252287290471
