symbol,list,species,m,gene_name,ensembl,models,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,WM,p_value,fdr,t_stat,log_fc,rank,mean_expr,best_gene_m,best_gene_name,best_gene_ensembl,best_gene_p_value,best_gene_fdr,best_gene_t_stat,best_gene_log_fc,best_gene_mean_expr
Ctgf,KM,MH,7750,CTGF,ENSG00000118523,Layer6+WM,0,0,0,0,0,1,1,9.36602812072908e-28,2.09152773964001e-23,17.0120506926202,1.95273914712825,1,5.64116013118915,7750,CTGF,ENSG00000118523,9.36602812072908e-28,2.09152773964001e-23,17.0120506926202,1.95273914712825,5.64116013118915
Lmo4,BM,MH,982,LMO4,ENSG00000143013,Layer2+Layer3+Layer4+Layer5+Layer6,0,1,1,1,1,1,0,9.41434501894694e-23,1.05115869309052e-19,13.969126862539,1.00844994625249,20,10.0805647151742,18436,GFAP,ENSG00000131095,2.42051574249415e-29,5.40525370456369e-25,-18.075504227239,-2.47541630515623,10.4526720336723
Etv1,KM,MH,8095,ETV1,ENSG00000006468,Layer5+Layer6,0,0,0,0,1,1,0,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,1,6.07655419508105,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Pcp4,BM,MH,22225,PCP4,ENSG00000183036,Layer5,0,0,0,0,1,0,0,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,1,8.23855286998732,22225,PCP4,ENSG00000183036,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,8.23855286998732
Cxcl14,KM,MH,6435,CXCL14,ENSG00000145824,Layer1+Layer2,1,1,0,0,0,0,0,5.71415626386591e-19,3.19007058820974e-15,11.8291018653381,1.61084469440639,4,8.6517438348954,7564,CNR1,ENSG00000118432,9.29506329941444e-24,2.07568058539224e-19,14.547278824171,1.57770860554178,6.99768873598948
Ntng2,KM,MH,11252,NTNG2,ENSG00000196358,Layer5+Layer6,0,0,0,0,1,1,0,5.12963902238273e-18,1.90916615014715e-14,11.3125556143109,1.17860557076055,6,5.98367288290038,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Nr4a2,KM,MH,3178,NR4A2,ENSG00000153234,Layer6+WM,0,0,0,0,0,1,1,2.64340988710016e-16,1.18059972377667e-13,10.3976811528593,2.01123715401062,50,4.88243702425294,7750,CTGF,ENSG00000118523,9.36602812072908e-28,2.09152773964001e-23,17.0120506926202,1.95273914712825,5.64116013118915
Cux2,KM+BM,MH,14444,CUX2,ENSG00000111249,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,2.65339355695697e-15,8.46470450291515e-12,9.87019863969009,2.07487158933074,7,5.58175727712768,8315,VSTM2A,ENSG00000170419,1.0308007000158e-17,2.30188104320529e-13,11.1481218349682,1.00821937847541,7.43945153359609
Reln,KM+BM,MH,8638,RELN,ENSG00000189056,Layer1,1,0,0,0,0,0,0,7.93983567686754e-15,9.33181423684889e-12,9.62252324041665,3.3134250089644,19,4.91925242440891,17246,MT1G,ENSG00000125144,3.16046373142828e-23,7.0576315586525e-19,14.2364432031911,1.7484491269722,7.82674035233197
Calb1,KM,MH,10184,CALB1,ENSG00000104327,Layer2+Layer3,0,1,1,0,0,0,0,1.54073637470114e-14,3.85608065749285e-11,9.47047751740358,2.04501583830161,8,5.83803126052643,6121,CARTPT,ENSG00000164326,5.54857025277544e-19,1.23905122314728e-14,11.8347747970387,2.1835719060187,6.42682346372285
B3galt2,KM,MH,1809,B3GALT2,ENSG00000162630,Layer5+Layer6,0,0,0,0,1,1,0,1.76017349450382e-13,1.96532171528825e-10,8.92075866018531,1.31180101263397,20,6.59964198583501,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
